CustomerID,Churn Probability
7590-VHVEG,0.7079790679545597
5575-GNVDE,0.05592674056391664
7795-CFOCW,0.045384142489342943
1452-KIOVK,0.25821224590041364
6713-OKOMC,0.3177954968796318
6388-TABGU,0.020037526071536416
9763-GRSKD,0.09153330248936137
7469-LKBCI,0.03439173988841338
8091-TTVAX,0.19444171883681988
5129-JLPIS,0.44037690753411196
3655-SNQYZ,0.03532670406210299
8191-XWSZG,0.018825399795376573
9959-WOFKT,0.035181829712059354
4183-MYFRB,0.5883676417834296
1680-VDCWW,0.10239746289202255
3638-WEABW,0.030220429751857666
6322-HRPFA,0.012929458516162229
6865-JZNKO,0.15204168117600667
5248-YGIJN,0.019805642833886843
3841-NFECX,0.028524777310302115
4929-XIHVW,0.7846842490951599
6827-IEAUQ,0.06711046202176259
7310-EGVHZ,0.19809774021667148
3413-BMNZE,0.36108250731469577
6234-RAAPL,0.025833996250276717
6572-ADKRS,0.24524829460194117
8865-TNMNX,0.21971530541283346
9489-DEDVP,0.024131573093623876
9867-JCZSP,0.08620956513150368
4671-VJLCL,0.017435233566748146
4080-IIARD,0.45526097912208363
3714-NTNFO,0.4162733596519984
5948-UJZLF,0.35236498027073904
7639-LIAYI,0.0321393939040835
2954-PIBKO,0.01378269436764683
8012-SOUDQ,0.48874496282316154
6575-SUVOI,0.27725364745605335
4667-QONEA,0.03425261797524154
8769-KKTPH,0.16008060502634494
5067-XJQFU,0.19788694435573298
3957-SQXML,0.03269460982823468
5954-BDFSG,0.04915323593969454
0434-CSFON,0.5682748769611684
1215-FIGMP,0.26626184505663825
0526-SXDJP,0.01444052753263744
0557-ASKVU,0.17246242960645222
5122-CYFXA,0.5403565142404463
8627-ZYGSZ,0.3045730686450182
3410-YOQBQ,0.05072115679297815
3170-NMYVV,0.012572472741446124
7410-OIEDU,0.4649436563732161
2273-QCKXA,0.28793559811238734
0731-EBJQB,0.04609043479977152
1891-QRQSA,0.058444576744651026
8028-PNXHQ,0.016090434185033795
5630-AHZIL,0.09077722134602753
2673-CXQEU,0.15846747627028493
6416-JNVRK,0.06360929740656426
5590-ZSKRV,0.07996358025536793
0191-ZHSKZ,0.28634000612493277
3887-PBQAO,0.06189683808184789
8108-UXRQN,0.2281676281590087
9919-YLNNG,0.30485910722269577
0318-ZOPWS,0.018201874414858474
4445-ZJNMU,0.7563245177800789
4808-YNLEU,0.12031126519824378
1862-QRWPE,0.013551531737053233
2796-NNUFI,0.020354508777234825
3016-KSVCP,0.3624347040333312
4767-HZZHQ,0.11142884384061345
2424-WVHPL,0.5586707035988656
7233-PAHHL,0.024750724441779493
6067-NGCEU,0.20119031294124232
9848-JQJTX,0.06738012791328093
9803-FTJCG,0.026665100770494495
3212-KXOCR,0.008989965490440493
6380-ARCEH,0.19809774021667148
3679-XASPY,0.09131757003483391
7123-WQUHX,0.18722326481067755
5386-THSLQ,0.06989805103909104
6180-YBIQI,0.45265360521594183
6728-DKUCO,0.15752648373973635
9750-BOOHV,0.09818983367131405
8597-CWYHH,0.24701813886201127
2848-YXSMW,0.005489605996684443
4549-ZDQYY,0.020943505701454493
5712-AHQNN,0.39808227373279004
